customer,cluster,cluster_label,cluster_profile
7913,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7914,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7915,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7916,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7917,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7918,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7919,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7920,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7921,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7922,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7923,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7924,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7925,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7926,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7927,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7928,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7929,1,New Parents,"Baby%, Drinks%, Home%"
7930,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7931,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7932,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7933,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7934,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7935,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7936,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7937,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7938,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7939,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7940,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7941,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7942,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7943,1,New Parents,"Baby%, Drinks%, Home%"
7944,1,New Parents,"Baby%, Drinks%, Home%"
