customer,cluster,cluster_label,cluster_profile
7310,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7311,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7312,1,New Parents,"Baby%, Drinks%, Home%"
7313,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7314,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7315,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7316,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7317,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7318,1,New Parents,"Baby%, Drinks%, Home%"
7319,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7320,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7321,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7322,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7323,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7324,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7325,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7326,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7327,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7328,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7330,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7331,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7332,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7333,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7334,1,New Parents,"Baby%, Drinks%, Home%"
7335,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7336,1,New Parents,"Baby%, Drinks%, Home%"
7337,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7338,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7339,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7340,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7341,1,New Parents,"Baby%, Drinks%, Home%"
7342,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7343,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7345,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7346,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7347,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7348,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7349,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7350,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7351,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7352,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7353,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7354,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7355,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7356,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7357,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7358,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7359,0,Home-Oriented Shoppers,"Home%, Drinks%, Food%"
7360,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
7362,3,Drink Enthusiasts,"Drinks%, Fresh%, Food%"
7363,2,Food-Focused Shoppers,"Food%, Drinks%, Home%"
