customer,cluster,cluster_label
2439,3,Drinks & Fresh Regulars & Food
2440,3,Drinks & Fresh Regulars & Food
2441,3,Drinks & Fresh Regulars & Food
2442,3,Drinks & Fresh Regulars & Food
2443,0,Home Decorators & Drinks & Food
2444,3,Drinks & Fresh Regulars & Food
2445,0,Home Decorators & Drinks & Food
2446,2,Food & Drinks & Home Decorators
2447,3,Drinks & Fresh Regulars & Food
2448,0,Home Decorators & Drinks & Food
2449,3,Drinks & Fresh Regulars & Food
2450,3,Drinks & Fresh Regulars & Food
2451,0,Home Decorators & Drinks & Food
2452,0,Home Decorators & Drinks & Food
2453,3,Drinks & Fresh Regulars & Food
2454,2,Food & Drinks & Home Decorators
2455,2,Food & Drinks & Home Decorators
2456,1,New Parents & Drinks & Home Decorators
2457,3,Drinks & Fresh Regulars & Food
2458,0,Home Decorators & Drinks & Food
2459,3,Drinks & Fresh Regulars & Food
2460,3,Drinks & Fresh Regulars & Food
2461,0,Home Decorators & Drinks & Food
2462,3,Drinks & Fresh Regulars & Food
2463,3,Drinks & Fresh Regulars & Food
2464,3,Drinks & Fresh Regulars & Food
2465,3,Drinks & Fresh Regulars & Food
2466,3,Drinks & Fresh Regulars & Food
2467,3,Drinks & Fresh Regulars & Food
2468,3,Drinks & Fresh Regulars & Food
2469,3,Drinks & Fresh Regulars & Food
2470,3,Drinks & Fresh Regulars & Food
2471,1,New Parents & Drinks & Home Decorators
2472,0,Home Decorators & Drinks & Food
2473,3,Drinks & Fresh Regulars & Food
2474,0,Home Decorators & Drinks & Food
2475,2,Food & Drinks & Home Decorators
2476,2,Food & Drinks & Home Decorators
2477,3,Drinks & Fresh Regulars & Food
2478,2,Food & Drinks & Home Decorators
2479,1,New Parents & Drinks & Home Decorators
2480,0,Home Decorators & Drinks & Food
2481,3,Drinks & Fresh Regulars & Food
2482,0,Home Decorators & Drinks & Food
2483,1,New Parents & Drinks & Home Decorators
2484,3,Drinks & Fresh Regulars & Food
2485,3,Drinks & Fresh Regulars & Food
2486,1,New Parents & Drinks & Home Decorators
2487,3,Drinks & Fresh Regulars & Food
2488,1,New Parents & Drinks & Home Decorators
2489,1,New Parents & Drinks & Home Decorators
2490,3,Drinks & Fresh Regulars & Food
2491,3,Drinks & Fresh Regulars & Food
2492,2,Food & Drinks & Home Decorators
2493,2,Food & Drinks & Home Decorators
2494,2,Food & Drinks & Home Decorators
2495,2,Food & Drinks & Home Decorators
2496,2,Food & Drinks & Home Decorators
2497,2,Food & Drinks & Home Decorators
2498,3,Drinks & Fresh Regulars & Food
2499,3,Drinks & Fresh Regulars & Food
2500,2,Food & Drinks & Home Decorators
2501,3,Drinks & Fresh Regulars & Food
2502,2,Food & Drinks & Home Decorators
2503,2,Food & Drinks & Home Decorators
2504,2,Food & Drinks & Home Decorators
2505,2,Food & Drinks & Home Decorators
2506,2,Food & Drinks & Home Decorators
2507,2,Food & Drinks & Home Decorators
2508,2,Food & Drinks & Home Decorators
2509,2,Food & Drinks & Home Decorators
2510,2,Food & Drinks & Home Decorators
2511,2,Food & Drinks & Home Decorators
2512,1,New Parents & Drinks & Home Decorators
2513,2,Food & Drinks & Home Decorators
2514,2,Food & Drinks & Home Decorators
2515,2,Food & Drinks & Home Decorators
2516,2,Food & Drinks & Home Decorators
2517,2,Food & Drinks & Home Decorators
2518,2,Food & Drinks & Home Decorators
2519,3,Drinks & Fresh Regulars & Food
2520,2,Food & Drinks & Home Decorators
2521,2,Food & Drinks & Home Decorators
2522,2,Food & Drinks & Home Decorators
2523,3,Drinks & Fresh Regulars & Food
2524,2,Food & Drinks & Home Decorators
2525,2,Food & Drinks & Home Decorators
2526,2,Food & Drinks & Home Decorators
