customer,cluster,cluster_label
1760,3,Drinks & Fresh Regulars & Food
1761,3,Drinks & Fresh Regulars & Food
1762,3,Drinks & Fresh Regulars & Food
1763,3,Drinks & Fresh Regulars & Food
1764,0,Home Decorators & Drinks & Food
1765,3,Drinks & Fresh Regulars & Food
1766,1,New Parents & Drinks & Home Decorators
1767,1,New Parents & Drinks & Home Decorators
1768,1,New Parents & Drinks & Home Decorators
1770,0,Home Decorators & Drinks & Food
1771,3,Drinks & Fresh Regulars & Food
1772,3,Drinks & Fresh Regulars & Food
1773,2,Food & Drinks & Home Decorators
1774,2,Food & Drinks & Home Decorators
1775,0,Home Decorators & Drinks & Food
1776,3,Drinks & Fresh Regulars & Food
1777,0,Home Decorators & Drinks & Food
1778,2,Food & Drinks & Home Decorators
